"survey_year","site","island","site_status","den_MACPYRAD","den_MACSTIPES","den_PCLA","bm_PCLA","den_CPUN","bm_CPUN"
2018,"SCI_CAVERN_POINT_W","SCI","mpa",84.66667,389,8.58333333333333,1.40270369902757,7.33333333333333,0.299933197916921
2019,"SCI_CAVERN_POINT_W","SCI","mpa",128,445.6667,3.83333333333333,0.407979258983038,2.58333333333333,0.0238978459291183
2020,"SCI_CAVERN_POINT_W","SCI","mpa",35.66667,382.5,4,0.435093002003204,9.83333333333333,0.309453542291616
2021,"SCI_CAVERN_POINT_W","SCI","mpa",167,580.3333,5,0.791289076102877,8.33333333333333,0.102653411241072
2015,"SCI_COCHE_POINT_E","SCI","reference",0,0,4.5,0.494447404834579,36.8333333333333,0.405849560487468
2016,"SCI_COCHE_POINT_E","SCI","reference",0,0,3.66666666666667,0.512410097229417,56.4166666666667,1.22724276178567
2017,"SCI_COCHE_POINT_E","SCI","reference",0,0,5.08333333333333,0.881989258017408,15.9166666666667,0.322766032312248
2018,"SCI_COCHE_POINT_E","SCI","reference",0,0,6.25,1.34480595781181,13.5833333333333,0.29707674949896
2019,"SCI_COCHE_POINT_E","SCI","reference",0,0,4.75,0.895258495079618,5.83333333333333,0.174480739903532
2020,"SCI_COCHE_POINT_E","SCI","reference",0,0,2,0.529722133704262,5.58333333333333,0.279444625388516
2021,"SCI_COCHE_POINT_E","SCI","reference",0,0,2.16666666666667,0.437583123393528,3.5,0.114238755434471
2015,"SCI_COCHE_POINT_W","SCI","reference",0,0,4.66666666666667,0.40123053742925,52.3333333333333,1.3321325289235
2016,"SCI_COCHE_POINT_W","SCI","reference",0,0,2.58333333333333,0.195008981123903,128.333333333333,2.59586377029944
2017,"SCI_COCHE_POINT_W","SCI","reference",0,0,4.58333333333333,1.20013704326977,54.1666666666667,1.35829182793832
2018,"SCI_COCHE_POINT_W","SCI","reference",0,0,4.66666666666667,1.07483186675234,15.25,0.51837802185371
2019,"SCI_COCHE_POINT_W","SCI","reference",0,0,3.58333333333333,0.214283931303285,1.25,0.0835128200478022
2020,"SCI_COCHE_POINT_W","SCI","reference",0,0,2.08333333333333,0.387614362615211,0.25,0.00670876022639327
2021,"SCI_COCHE_POINT_W","SCI","reference",1.666667,3,1.91666666666667,0.427427191637412,5.83333333333333,0.107317578375906
2015,"SCI_FORNEY_E","SCI","reference",4.166666667,27.83333333,2.91666666666667,0.612743903852498,35.4166666666667,0.739741684956548
2017,"SCI_FORNEY_E","SCI","reference",12.16667,153.6667,3,0.581132859742211,3.33333333333333,0.125508226630499
2018,"SCI_FORNEY_E","SCI","reference",0.1666667,0.3333333,2.25,0.46099735462588,4.66666666666667,0.237755264928966
